dwell time,first fixation duration,first run dwell time,last run dwell time,regressions out,cptm,ppl,hb
like,like,bitter,like,point,like,day,like
point,bitter,get,bitter,like,good,work,point
get,get,point,get,bitter,day,done,bitter
bitter,seems,like,point,seems,point,point,seems
seems,point,seems,seems,get,work,great,work
work,work,work,work,work,bitter,good,day
